ID,Title,SortTitle,Filed As,CallNum,IsPartOf,Related,issn,eissn,country,provState,cityTown,location,holdingCoverage,contentStart,contentEnd,gaps,pubDate,pubHistoryImage,notesTitle,frequency,localNotes,Column,Column2,First Issue Verbatim Date,First Issue Start Date,First Issue End Date,Last Issue Verbatim Date,Last Issue Start Date,Last Issue End Date
558,New Frontier,New Frontier,New Frontier,,558,N,,,CA,ON,Toronto,HIL-MIC,Apr 1936 - Oct 1937 ,1936-04-01,1937-10-01,N,Apr 1936 - 1937,N,,Monthly,v.1-11,,,Apr-36,01/04/1936,30/04/1936,1937,01/01/1937,12/07/1939
559,The North American (Semi-weekly edition),North American (Semi-weekly edition),North American,,559,N,,,CA,ON,Toronto,HIL-MIC,"May 21, 1850 - Mar 28, 1854",1850-05-21,1854-03-28,N,1850 - 1854,N,,,"Publication suspended Sept. 17, 1850 - Oct. 24, 1851.|The weekly and semi-weekly editions are filmed on separate reels. ",,,1850,01/01/1850,31/12/1850,1854,01/01/1854,12/07/1856
560,Financial Post Magazine (1990),Financial Post Magazine (1990),"Financial Post June 1990 - Dec 31, 1998; National Post Jan 1999 - Aug 1999",,600,Y,1184-7824,,CA,ON,Toronto,HIL-MIC,June 1990 - Aug 1999,1990-06-01,1999-08-01,N,June 1990 - Aug 1999,N,"Supplemental magazine published with the Financial Post (Toronto, ON) ",,,,,Jun-90,01/06/1990,30/06/1990,Aug-99,01/08/1999,31/08/1999
561,Canadian Freeman (1862),Canadian Freeman (1862),Canadian Freeman,,561,N,1186-5679,,CA,ON,Toronto,HIL-MIC,"Jan 2, 1862 - July 31,1873",1862-01-02,1873-07-31,N,1858 - 1873,N,,,"There is another newspaper entitled Canadian Freeman (1825 - 1834), also published in Toronto. They are not a part of each other's publishing histories. ",,,1858,01/01/1858,31/12/1858,1873,01/01/1873,12/07/1875
562,Ontario Labor News,Ontario Labor News,,HD8101 .L66 ,562,N,,,CA,ON,Toronto,HIL-MIC,May - July 1919,1919-05-01,1919-07-01,N,"Mar 1, 1919 - ?",N,,,,,,01-Mar-19,01/03/1919,,?,,
563,Ontario Workman,Ontario Workman,,HD8101 .O58,563,N,1194-1227,,CA,ON,Toronto,HIL-MIC,"Apr 18, 1872 - Apr 10, 1873",1872-04-18,1873-04-10,N,"Apr 18, 1872 - 1875",N,,Weekly,,,,"Apr 18, 1872 ",18/04/1872,,1875,01/01/1875,12/07/1877
564,People's Cause,People's Cause,,HD8101 .L66,564,N,,,CA,ON,Toronto,HIL-MIC,"Apr 20, 1925; Apr 27, 1926; Oct 1927",1925-04-20,1927-10-01,Y,"Apr 20, 1925 - ?",N,,,,,,20-Apr-25,20/04/1925,,?,,
565,"People's Journal (Toronto, Ontario)","People's Journal (Toronto, Ontario)",People's Journal,,565,N,1184-3675,,CA,ON,Toronto,HIL-MIC,"Oct 23, 1869 - Apr 22, 1871",1869-10-23,1871-04-22,N,"Oct 23, 1869 - Apr 22, 1871",N,,Weekly,,,,"Oct 23, 1869 ",23/10/1869,,"Apr 22, 1871",22/04/1871,
566,Quill and Quire,Quill and Quire,Quill and Quire,,566,N,0033-6491,,CA,ON,Toronto,HIL-MIC,Apr 1935 - Dec 1950 ,1935-04-01,1950-12-01,N,1935 - ?,N,,Monthly,,,,1935,01/01/1935,31/12/1935,?,,
567,Rose-Belford's Canadian Monthly and National Review ,Rose-Belford's Canadian Monthly and National Review ,Rose-Belford's CDN Monthly and National Review ,,567,N,0382-6473,,CA,ON,Toronto,HIL-MIC,July 1878 - June 1882,1878-07-01,1882-06-01,N,July 1878 - June 1882,N,"Formed by the union of Belford's Monthly Magazine (not in our collection) and Canadian Monthly and National Review (Toronto, Ontario).",Monthly,,,,July 1878 ,01/07/1878,31/07/1878,June 1882,01/06/1882,30/06/1882
568,Royal Standard,Royal Standard,Royal Standard,,568,N,0842-0823,,CA,ON,Toronto,HIL-MIC,"Nov 26, 1836 - Feb 8, 1837",1836-11-26,1837-02-08,N,"Nov 26, 1836 - Feb 11, 1837",N,,Daily,,,,"Nov 26, 1836 ",26/11/1836,,"Feb 11, 1837",11/02/1837,
569,Royal Standard and Toronto Daily Commercial Advertiser,Royal Standard and Toronto Daily Commercial Advertiser,Royal Standard,,568,N,0842-0815,,CA,ON,Toronto,HIL-MIC,"Nov 9, 1836 - Nov 25, 1836",1836-11-09,1836-11-25,N,"Nov 9, 1836 - Nov 25, 1836",N,,Daily,,,,"Nov 9, 1836 ",09/11/1836,,"Nov 25, 1836",25/11/1836,
570,Saturday Night,Saturday Night,Saturday Night,,570,N,0380-867X,,CA,ON,Toronto,HIL-MIC,"July 22, 1911- Nov 22, 1958",1911-07-22,1958-11-22,N,"July 22, 1911 - July 1962",N,,Weekly,,,,22-Jul-11,22/07/1911,,Jul-62,01/07/1962,31/07/1962
571,Social Democrat,Social Democrat,,HD8101 .O27,571,N,1184-3853,,CA,ON,Toronto,HIL-MIC,31-Dec-18,1918-12-31,1918-12-31,N,31-Dec-18,N,,,,,,31-Dec-18,31/12/1918,,,,
572,The Thunderbolt,Thunderbolt,Thunderbolt,,572,N,1194-1251,,CA,ON,Toronto,HIL-MIC,"July 20, 1937 - Jan 1938 ",1937-07-20,1938-01-01,N,1937 - 1939,N,,,v.1 no.4 - v.2 no.1,,,1937,01/01/1937,31/12/1937,1939,01/01/1939,12/07/1941
573,Today Magazine,Today Magazine,"Ottawa Citizen, reels 404-503",,499,Y,0226-501X,,CA,ON,Toronto,HIL-MIC,Mar 1980 - 1982 ,1980-03-01,1982-01-01,N,Mar 1980 - 1982 ,Y,Weekly supplement in the Ottawa Citizen.,Weekly,,,,Mar-80,01/03/1980,31/03/1980,1982,01/01/1982,12/07/1984
574,Toiler,Toiler,,HD8102 .T59 ,585,N,1709-6448,,CA,ON,Toronto,HIL-MIC,Apr 1902 - Dec 1904 ,1902-04-01,1904-12-01,N,1900 - Aug 1905 ,N,,,,,,1900,01/01/1900,31/12/1900,Aug-05,01/08/1905,31/08/1905
575,Toronto Clarion,Toronto Clarion,,HD8101 .W64,575,N,0842-0807,,CA,ON,Toronto,HIL-MIC,"[May 1, 1940 - July 19, 1941]",1940-05-01,1941-07-19,Y,"May 1, 1940 - July 19, 1941 ",N,,Weekly,,,,01-May-40,01/05/1940,,19-Jul-41,19/07/1941,
576,Constitution,Constitution,Constitution,,576,N,,,CA,ON,Toronto,HIL-MIC,"July 19, 1836 - Dec 6, 1837 ",1836-07-19,1837-12-06,N,"July 4, 1836 - Dec 6, 1837 ",N,Variant title: Toronto Constitution,Weekly,,,,"July 4, 1836 ",04/07/1836,,"Dec 6, 1837",06/12/1837,
577,Mail and Advocate (Weekly Edition),Mail and Advocate (Weekly Edition),,HD8101 .F573,483,Y,,,CA,NL,St. John's,HIL-MIC,"May 2, 1914 - Dec 30, 1916",1914-05-02,1916-12-30,N,"May 2, 1914 - Dec 30, 1916",N,,Weekly,"The Fisherman's Advocate, the Mail and Advocate (Weekly Edition), and the Weekly Advocate are all weekly editions of the daily papers the Daily Mail, the Mail and Advocate and the Evening Advocate. ",,,02-May-14,02/05/1914,,30-Dec-16,30/12/1916,
578,Toronto Patriot,Toronto Patriot,Patriot and Farmer's Monitor,,578,N,1181-2346,,CA,ON,Toronto,HIL-MIC,"1839 - Dec 31, 1844",1839-01-01,1844-12-31,N,1939 - Aug 1852,N,,Semi-weekly,,,,1939,01/01/1939,31/12/1939,Aug 1852,01/08/1852,31/08/1852
579,Toronto Saturday Night,Toronto Saturday Night,Saturday Night,,570,N,1180-6532,,CA,ON,Toronto,HIL-MIC,"Dec 3, 1887 - Jul, 15, 1911",1887-12-03,1911-07-15,N,"Dec 3, 1887 - Jul, 15, 1911",N,,,,,,"Dec 3, 1887 ",03/12/1887,,15-Jul-11,15/07/1911,
580,Toronto Star,Toronto Star,Toronto Star ,,580,N,0841-9612,,CA,ON,Toronto,HIL-MIC,"July 1844 - July 29, 1846 ",1844-07-01,1846-07-29,N,"July 1844 - July 29, 1846 ",N,,Semi-weekly July 1844 - Apr 1845; Weekly Apr-June 1845; Semi-weekly July 1845 - July 1846,,,,July 1844 ,01/07/1844,31/07/1844,"July 29, 1846",29/07/1846,
581,Toronto Star and Canadian Famer's Journal ,Toronto Star and Canadian Famer's Journal ,Toronto Star ,,580,N,0841-9604,,CA,ON,Toronto,HIL-MIC,"Jan - July 3, 1844",1844-01-01,1844-07-03,N,"Jan 1844 - July 3, 1844",N,,,,,,Jan 1844 ,01/01/1844,31/01/1844,"July 3, 1844",03/07/1844,
582,"Toronto Star, Transcript and General Advertiser","Toronto Star, Transcript and General Advertiser",Toronto Star ,,580,N,0841-9590,,CA,ON,Toronto,HIL-MIC,"Mar 1, 1843 - Dec 27, 1843 ",1843-03-01,1843-12-27,N,"Mar 1, 1843 - Dec 27, 1843 ",N,,,,,,"Mar 1, 1843 ",01/03/1843,,"Dec 27, 1843",27/12/1843,
583,Toronto Weekly Message ,Toronto Weekly Message ,Mackenzie's Weekly Message ,,583,N,,,CA,ON,Toronto,HIL-MIC,"Aug 15, 1856 - Sept 15, 1860",1856-08-15,1860-09-15,N,"Aug 15, 1856 - Sept 15, 1860",N,,Weekly,,,,"Aug 15, 1856 ",15/08/1856,,"Sept 15, 1860",15/09/1860,
584,Trade Report of the Ontario Provincial Council,Trade Report of the Ontario Provincial Council,,HD8101 .S56,532,N,1713-6814,,CA,ON,Toronto,HIL-MIC,Sept 1917 - July 1924,1917-09-01,1924-07-01,N,Sept 1917 - July 1924,N,,,Filmed on reel 1.,,,Sep-17,01/09/1917,30/09/1917,Jul-24,01/07/1924,31/07/1924
585,"Tribune (Toronto, Ontario)","Tribune (Toronto, Ontario)",,HD8101 .T74 ,585,N,1713-2924,,CA,ON,Toronto,HIL-MIC,"Mar 3, 1906 - Sept 1, 1906 ",1906-03-03,1906-09-01,N,"Sept 5, 1905 - 1906",N,,,,,,05-Sep-05,05/09/1905,,1906,01/01/1906,12/07/1908
586,Voice of the Fugitive,Voice of the Fugitive,Voice of the Fugitive ,,586,N,1180-6915,,CA,ON,Windsor,HIL-MIC,"Jan 1, 1851 - Dec 16, 1852",1851-01-01,1852-12-16,N,"Jan 1, 1851 - 1853?",N,,2x/week,"Published in Sandwich, Ontario which is now a part of Windsor, Ontario.|Antislavery newspaper.",,,"Jan 1, 1851 ",01/01/1851,12/07/1855,1853?,01/01/1853,
587,The Week,Week,The Week,,587,N,,,CA,ON,Toronto,HIL-MIC,"Dec 6, 1883 - Nov 20, 1896 ",1883-12-06,1896-11-20,N,1883 - 1896 ,N,,,v.1-13,,,1883,01/01/1883,31/12/1883,1896,01/01/1896,12/07/1898
588,Weekly Register,Weekly Register,Upper Canada Gazette ,,488,Y,,,CA,ON,Toronto,HIL-MIC,1822 - May 1826,1822-01-01,1826-05-01,N,1822 - May 1826,N,,,"Published in two parts from 1821-1828; the first official part was called the Upper Canada Gazette; the second part contained news coverage and was called the York Weekly Post (1821-1822), the Weekly Register (1822-1826) and the United Empire Loyalist (Jun. 1826 - May 1828).",,,1822,01/01/1822,31/12/1822,May 1826,01/05/1826,31/05/1826
589,"Worker (Toronto, Ontario)","Worker (Toronto, Ontario)",,HD8101 .W64,575,N,0842-0777,,CA,ON,Toronto,HIL-MIC,"Mar 15, 1922 - Apr 30, 1936 ",1922-03-15,1936-04-30,N,"Mar 15, 1922 - Apr 30, 1936 ",N,,Varies,,,,15-Mar-22,15/03/1922,,30-Apr-36,30/04/1936,
590,Workers' Unity,Worker's Unity,,HD8101 .T74,590,N,0701-2004,,CA,ON,Toronto,HIL-MIC,July 1931 - Sept 1932 ,1931-07-01,1932-09-01,N,"July 15, 1931 - ?",N,,Bimonthly 1931; Monthly 1932 ,,,,15-Jul-31,15/07/1931,,?,,
591,York Gazette,York Gazette,Upper Canada Gazette ,,488,N,,,CA,ON,Toronto,HIL-MIC,Mar 1807 - Dec 1816,1807-03-01,1816-12-01,N,Mar 1807 - Dec 1816,N,,,Publication suspended 1813 - Nov 1814. There are a few other gaps in publication as well. ,,,Mar 1807 ,01/03/1807,31/03/1807,Dec 1816,01/12/1816,31/12/1816
592,York Weekly Post,York Weekly Post,Upper Canada Gazette ,,488,Y,,,CA,ON,Toronto,HIL-MIC,1821 - 1822,1821-01-01,1822-01-01,N,1821 - 1822,N,,,"Published in two parts from 1821-1828; the first official part was called the Upper Canada Gazette; the second part contained news coverage and was called the York Weekly Post (1821-1822), the Weekly Register (1822-1826) and the United Empire Loyalist (Jun. 1826 - May 1828).",,,1821,01/01/1821,31/12/1921,1822,01/01/1822,12/07/1824
593,The British American Magazine,British American Magazine,British American Magazine,,593,N,,,CA,ON,Toronto ,HIL-MIC,May 1863 - Apr 1864,1863-05-01,1864-04-01,N,1863 - 1864 ,N,Variant title: British American Magazine : Devoted to Literature Science and Art.,Monthly,,,,1863,01/01/1863,31/12/1863,1864,01/01/1864,12/07/1866
594,"Patriot (Toronto, Ontario)","Patriot (Toronto, Ontario)",Patriot and Farmer's Monitor,,578,N,1181-2338,,CA,ON,Toronto,HIL-MIC,"Mar 21, 1834 - 1839 ",1834-03-21,1839-01-01,N,"Mar 21, 1834 - 1839 ",N,,Semi-weekly,,,,"Mar 21, 1834 ",21/03/1834,,1839,01/01/1839,12/07/1841
595,Newfoundlander ,Newfoundlander ,Newfoundlander ,,595,N,,,CA,NL,St. John's,HIL-MIC,"Aug 8, 1827 - Dec 30, 1884 ",1827-08-08,1884-12-30,N,"Aug 8, 1827 - Dec 30, 1884 ",N,,Weekly 1827-1845; Semi-weekly 1845-1847; Weekly 1847-1852; Semi-weekly 1852-1884,,,,"Aug 8, 1827 ",08/08/1827,,"Dec 30, 1884",30/12/1884,
596,Canadian Weekend,Canadian Weekend,"Ottawa Citizen, reels 391-403",,499,Y,0704-4070,,CA,ON,Toronto ,HIL-MIC,"Oct 27, 1979 - Mar 8, 1980 ",1979-10-27,1980-03-08,N,"Oct 27, 1979 - Mar 8, 1980 ",Y,Weekly supplement in the Ottawa Citizen.,Weekly,"Formed by the union of The Canadian (Toronto, Ontario) and the Weekend Magazine (Montréal, Québec), a supplement included in numerous newpapers (in our collection, it is included with the Montreal Star). ",,,27-Oct-79,27/10/1979,,08-Mar-80,08/03/1980,
597,Weekly Advocate,Weekly Advocate,,HD8101 .F573,483,Y,,,CA,NL,St. John's,HIL-MIC,"Jan 7, 1916 - Aug 30, 1924",1916-01-07,1924-08-30,N,"Jan 7, 1916 - Aug 30, 1924",N,,Weekly,"The Fisherman's Advocate, the Mail and Advocate (Weekly Edition), and the Weekly Advocate are all weekly editions of the daily papers the Daily Mail, the Mail and Advocate and the Evening Advocate. ",,,07-Jan-16,07/01/1916,,30-Aug-24,30/08/1924,
598,Irish Canadian,Irish Canadian,Irish Canadian,,598,N,,,CA,ON,Toronto ,HIL-MIC,"Jan 7, 1863 - Dec 31, 1873 ",1863-01-07,1873-12-31,N,? - 1901 ,N,,Weekly,,,,? ,,,1901,01/01/1901,12/07/1903
599,The Nation,Nation,Nation,,599,N,,,CA,ON,Toronto ,HIL-MIC,"Apr 2, 1874 - Sept 29, 1876",1874-04-02,1876-09-29,N,"Apr 2, 1874 - Sept 29, 1876",N,Variant title: Toronto Nation.,Monthly,,,,"Apr 2, 1874 ",02/04/1874,,"Sept 29, 1876",29/09/1876,
600,National Post,National Post,National Post,,600,N,1486-8008,,CA,ON,Toronto ,HIL-MIC,"Jan 2, 1999 - Current ",1999-01-02,0000-00-00,N,"Jan 2, 1999 - Current ",N,,Daily,Supplement: Financial Post Magazine (1990) is filmed along with the Financial Post. ,,,02-Jan-99,02/01/1999,,Present,,
601,"Detonator UE-DIL, Ajax","Detonator UE-DIL, Ajax",,HD8102 .C61,601,N,1714-4558,,CA,ON,Whitby,HIL-MIC,"Oct 6, 1942 - Aug 3, 1943 ",1942-10-06,1943-08-03,N,"Oct 6, 1942 - ?",N,,,,,,06-Oct-42,06/10/1942,,?,,
602,The Canadian Emigrant and Western District Weekly Advertiser,Canadian Emigrant and Western District Weekly Advertiser,Canadian Emigrant ,,603,N,,,CA,ON,Windsor,HIL-MIC,"[Mar 8, 1834 - June 20, 1835]",1834-03-08,1835-06-20,Y,"Mar 8, 1834 - June 20, 1835",N,,Weekly,"Published in Sandwich, Ontario which is now a part of Windsor, Ontario.|Some pages missing.",,,"Mar 8, 1834 ",08/03/1834,,"June 20, 1835",20/06/1835,
603,Canadian Emigrant and Western District Commercial and General Advertiser,Canadian Emigrant and Western District Commercial and General Advertiser,Canadian Emigrant ,,603,N,,,CA,ON,Windsor,HIL-MIC,"[June 21, 1835 - 1836]",1835-06-21,1836-01-01,Y,"June 21, 1835 - 1837",N,,Weekly,"Published in Sandwich, Ontario which is now a part of Windsor, Ontario.|Some pages missing.",,,"June 21, 1835 ",21/06/1835,,1837,01/01/1837,12/07/1839
604,The Canadian Emigrant and Western District Advertiser,Canadian Emigrant and Western District Advertiser,Canadian Emigrant ,,603,N,,,CA,ON,Windsor,HIL-MIC,"Dec 1, Dec 29, 1831; Jan 19-June 2 1832; Sept 29-Oct 27, 1832; July 6-Dec 21,1833; [1834]",1831-12-01,1834-01-01,Y,Nov 1831 - Feb 1834,N,,,"Published in Sandwich, Ontario which is now a part of Windsor, Ontario.|Some pages missing.",,,Nov 1831 ,01/11/1831,30/11/1831,Feb 1834,01/02/1834,28/02/1834
605,The North American (Weekly edition),North American (Weekly edition),North American,,559,Y,,,CA,ON,Toronto,HIL-MIC,"Sept 11, 1850 - Feb 14, 1855",1850-09-11,1855-02-14,N,1850 - 1855,N,"Weekly edition of The North American (Toronto, Ontario)",Weekly,The weekly and semi-weekly editions are filmed on separate reels. ,,,1850,01/01/1850,31/12/1850,1855,01/01/1855,12/07/1857
606,Western Herald and Farmer's Magazine,Western Herald and Farmer's Magazine,Western Herald ,,606,N,,,CA,ON,Windsor,HIL-MIC,"Jan 3, 1838 - Oct 6, 1842 ",1838-01-03,1842-10-06,N,"Jan 3, 1838 - 1842",N,Variant title: Western Herald,Weekly,"Published in Sandwich, Ontario which is now a part of Windsor, Ontario.",,,"Jan 3, 1838 ",03/01/1838,,1842,01/01/1842,12/07/1844
607,The Kingston Chronicle,Kingston Chronicle,Kingston Chronicle ,,610,N,1181-2443,,CA,ON,Kingston,HIL-MIC,"Jan 1, 1819 - June 22, 1833",1819-01-01,1833-06-22,N,"Jan 1, 1819 - June 22, 1833",N,,Weekly,,,,"Jan 1, 1819 ",01/01/1819,,"June 22, 1833",22/06/1833,
608,Chronicle & Gazette and Weekly Commercial Advertiser,Chronicle & Gazette and Weekly Commercial Advertiser,Kingston Chronicle ,,610,N,1181-2451,,CA,ON,Kingston,HIL-MIC,"June 29, 1833 - Jan 3, 1835",1833-06-29,1835-01-03,N,"June 29, 1833 - Jan 3, 1835",N,,Weekly,,,,"June 29, 1833 ",29/06/1833,,"Jan 3, 1835",03/01/1835,
609,"Pioneer (Summerside, Prince Edward Island : 1880)","Pioneer (Summerside, Prince Edward Island : 1880)",Pioneer,,669,N,,,CA,PE,Summerside,HIL-MIC,"Sept 22, 1880 - Oct 4, 1951",1880-09-22,1951-10-04,N,"Sept 22, 1880 - Oct 4, 1951",Y,,Weekly; Semi-weekly 1947-51,"Published in Alberton, Prince Edward Island 1876 - Sept 1879, in Montague, Prince Edward Island Oct 1879 - May 29, 1880, and in Summerside, Prince Edward Island Sept 22, 1880 - 1951. ",,,"Sept 22, 1880 ",22/09/1880,,04-Oct-51,04/10/1951,
610,Chronicle & Gazette and Kingston Commercial Advertiser ,Chronicle & Gazette and Kingston Commercial Advertiser ,Kingston Chronicle ,,610,N,1181-246X,,CA,ON,Kingston,HIL-MIC,"Jan 7, 1835 - Dec 31, 1845",1835-01-07,1845-12-31,N,"Jan 7, 1835 - 1847",N,,Weekly,,,,"Jan 7, 1835 ",07/01/1835,,1847,01/01/1847,12/07/1849
611,"Gazette (Kingston, Ontario)","Gazette (Kingston, Ontario)",Kingston Chronicle ,,610,N,1181-2435,,CA,ON,Kingston,HIL-MIC,"Sept 25, 1810 - Dec 31, 1818",1810-09-25,1818-12-31,N,"Sept 25, 1810 - Dec 31, 1818",N,Variant title: Kingston Gazette,Weekly,"The Gazette was the first paper between Toronto and Montréal. For much of the War of 1812-14, it was the only paper in Upper Canada.",,,"Sept 25, 1810 ",25/09/1810,,"Dec 31, 1818",31/12/1818,
612,Alberton Pioneer,Alberton Pioneer,Pioneer,,669,N,0837-3302,,CA,PE,Alberton,HIL-MIC,"July 5, 1876 - Feb 26, 1879",1876-07-05,1879-02-26,N,"July 5, 1876 - Feb 26, 1879",Y,,Weekly,"Published in Alberton, Prince Edward Island 1876 - Sept 1879, in Montague, Prince Edward Island Oct 1879 - May 29, 1880, and in Summerside, Prince Edward Island Sept 22, 1880 - 1951. ",,,"July 5, 1876 ",05/07/1876,,"Feb 26, 1879",26/02/1879,
613,"Pioneer (Montague, Prince Edward Island : 1879)","Pioneer (Montague, Prince Edward Island : 1879)",Pioneer,,669,N,0837-3310,,CA,PE,Montague,HIL-MIC,"Sept 13, 1879 - May 29, 1880",1879-09-13,1880-05-29,N,"Sept 13, 1879 - May 29, 1880",Y,,Weekly,"Published in Alberton, Prince Edward Island 1876 - Sept 1879, in Montague, Prince Edward Island Oct 1879 - May 29, 1880, and in Summerside, Prince Edward Island Sept 22, 1880 - 1951. ",,,"Sept 13, 1879 ",13/09/1879,,"May 29, 1880",29/05/1880,
614,British American,British American,British American,,614,N,0839-2714,,CA,PE,Charlottetown,HIL-MIC,"Aug 4, 1832 - June 29, 1833",1832-08-04,1833-06-29,N,"Aug 4, 1832 - June 29, 1833",N,,Weekly,,,,"Aug 4, 1832 ",04/08/1832,,"June 29, 1833",29/06/1833,
615,"Canada Gazette (Toronto, Ontario : 1850)","Canada Gazette (Toronto, Ontario)",Canada Gazette ,,679,N,,,CA,ON,Toronto,HIL-MIC,1850 - 1851,1850-01-01,1851-01-01,N,1850 - 1851,N,,Weekly,"Official government publication, published in both English and French. The Canada Gazette was published in both Kingston, Ontario and Montréal, Québec with the exception of 1850-1851 when edition published in Kingston moved to Toronto, Ontario. One result of Confederation in 1867 was the concurrent publication of two Canada Gazettes until 1869 when the new capital, Ottawa, began publication of its own Canada Gazette (not in our collection). Both series were published weekly on Saturdays by Malcolm Cameron who had become Queen's Printer in 1863. The series which had begun in 1841 continued until the end of 1869 and focused on Ontario and Québec, with greater emphasis placed on Québec. The new series, published in Ottawa, which began on July 1, 1867, dealt with federal matters. The Canada Gazette (1841-1869) was discontinued after the Ontario gazette and the Québec Gazette began to publish in 1868 and 1869 making it redundant.",,,1850,01/01/1850,31/12/1850,1851,01/01/1851,12/07/1853
616,Charlottetown Guardian,Charlottetown Guardian,Guardian (Charlottetown),,626,N,0832-2686,,CA,PE,Charlottetown,HIL-MIC,"Sept 24, 1904 - Nov 9, 1945",1904-09-24,1945-11-09,N,"Sept 24, 1904 - Nov 9, 1945",N,,Daily,,,,24-Sep-04,24/09/1904,,09-Nov-45,09/11/1945,
617,Charlottetown Herald,Charlottetown Herald,Herald (Charlottetown),,617,N,0824-3417,,CA,PE,Charlottetown,HIL-MIC,"[Nov 8, 1882 - Dec 25, 1912]",1882-11-08,1912-12-25,Y,"Jan 27, 1875 - 1923",N,,Weekly,,,,"Jan 27, 1875 ",27/01/1875,,1923,01/01/1923,12/07/1925
618,Charlottetown Patriot (1923),Charlottetown Patriot (1923),Evening Patriot,,941,N,,,CA,PE,Charlottetown,HIL-MIC,"[Dec 24, 1923 - Jan 10, 1924] ",1923-12-24,1924-01-10,Y,"Dec 24, 1923 - Jan 10, 1924",N,,Daily,,,,24-Dec-23,24/12/1923,,10-Jan-24,10/01/1924,
619,Colonial Herald and Prince Edward Island Advertiser,Colonial Herald and Prince Edward Island Advertiser,Colonial Herald ,,619,N,,,CA,PE,Charlottetown,HIL-MIC,"[Jan 6, 1838 - Dec 1839]; Jan 4, 1840 - July 27, 1844 ",1838-01-06,1844-07-27,Y,"Aug 5, 1837 - July 27, 1844",N,,Weekly,,,,"Aug 5, 1837 ",05/08/1837,,"July 27, 1844",27/07/1844,
620,Daily Examiner,Daily Examiner,Examiner,,620,N,,,CA,PE,Charlottetown,HIL-MIC,"May 23, 1881 - 1900",1881-05-23,1900-01-01,N,"May 23, 1881 - Oct 8, 1906",N,,Daily,"Eventually absorbed by the Guardian (Charlottetown, Prince Edward Island) in 1922.",,,"May 23, 1881 ",23/05/1881,,08-Oct-06,08/10/1906,
621,Daily Guardian,Daily Guardian,Guardian (Charlottetown),,626,N,0839-2684,,CA,PE,Charlottetown,HIL-MIC,"Dec 16, 1890 - Jan 8, 1891",1890-12-16,1891-01-08,N,"Dec 16, 1890 - Jan 8, 1891",N,,Daily,,,,"Dec 16, 1890 ",16/12/1890,,"Jan 8, 1891",08/01/1891,
622,Daily Patriot,Daily Patriot,"Patriot (Charlottetown) Apr 7, 1881 - July 1, 1889, Evening Patriot July 2, 1889 - Nov 14, 1910",,941,N,1181-2613,,CA,PE,Charlottetown,HIL-MIC,"[Apr 7, 1881 - Nov 14, 1910]",1881-04-07,1910-11-14,Y,"Apr 7, 1881 - Nov 14, 1910",N,,Daily,,,,"Apr 7, 1881 ",07/04/1881,,14-Nov-10,14/11/1910,
623,Evening Patriot (1924),Evening Patriot (1924),Evening Patriot,,941,N,,,CA,PE,Charlottetown,HIL-MIC,"[Jan 11, 1924 - Mar 5, 1931]",1924-01-11,1931-03-05,Y,"Jan 11, 1924 - Mar 5, 1931",N,,Daily,,,,11-Jan-24,11/01/1924,,05-Mar-31,05/03/1931,
624,Examiner (1847),Examiner 1847,Examiner,,620,N,,,CA,PE,Charlottetown,HIL-MIC,"Aug 7, 1847 - Feb 19, 1849",1847-08-07,1849-02-19,N,"Aug 7, 1847 - Feb 19, 1949",N,,Weekly,,,,"Aug 7, 1847 ",07/08/1847,,19-Feb-49,19/02/1949,
625,"Gazette (Charlottetown, Prince Edward Island)","Gazette (Charlottetown, Prince Edward Island)",Haszard's Gazette ,,941,N,0837-3442,,CA,PE,Charlottetown,HIL-MIC,"July 29, 1851 - Aug 1851",1851-07-29,1851-08-01,N,"July 29, 1851 - Aug 1851",N,,Weekly,,,,"July 29, 1851 ",29/07/1851,,Aug 1851,01/08/1851,30/08/1851
626,"Guardian (Charlottetown, Prince Edward Island)","Guardian (Charlottetown, Prince Edward Island)",Guardian (Charlottetown),,626,N,0832-2708,,CA,PE,Charlottetown,HIL-MIC,"Sept 19, 1955 - Dec 31, 1964 ",1955-09-19,1964-12-31,N,"Sept 19, 1955 - Current",N,,Daily,,,,19-Sep-55,19/09/1955,,Present,,
627,Guardian of the Gulf,Guardian of the Gulf,Guardian (Charlottetown),,626,N,0832-2694,,CA,PE,Charlottetown,HIL-MIC,"Nov 10, 1945 - Sept 17, 1955",1945-11-10,1955-09-17,N,"Nov 10, 1945 - Sept 17, 1955",N,,Daily,,,,10-Nov-45,10/11/1945,,17-Sep-55,17/09/1955,
